Ticket ID,Category,Priority,Department,Assigned Team,Created Date,Resolved Date,SLA Hours,Actual Hours,Status,Repeat Issue,Root Cause
INC0012880,Software License Error,P2,Finance,IT Helpdesk,2025-03-18,2025-03-19,8,22,Closed,Yes,License count exceeded
INC0012881,Phishing Attempt,P1,Sales,IT Security,2025-03-19,2025-03-19,4,2,Closed,Yes,User training gap
INC0012882,Network Outage,P1,Finance,Network Ops,2025-03-24,2025-03-24,4,9,Closed,Yes,Firewall rule misconfiguration
INC0012883,VPN Access,P2,All Departments,IT Helpdesk,2025-03-25,2025-03-27,8,19,Closed,Yes,Certificate expiry
INC0012884,Access Request,P3,Engineering,IT Helpdesk,2025-03-26,2025-04-02,24,148,Open,No,Approval chain delay
INC0012885,Application Down,P1,HR,App Support,2025-03-31,2025-03-31,4,3,Closed,No,Patch applied
INC0012886,Network Outage,P1,Sales,Network Ops,2025-04-01,2025-04-01,4,5,Closed,Yes,Firewall rule misconfiguration
INC0012887,Phishing Attempt,P1,Finance,IT Security,2025-04-02,2025-04-02,4,1,Closed,Yes,User training gap
INC0012888,Software License Error,P2,HR,IT Helpdesk,2025-04-03,,8,,Open,Yes,License count exceeded
INC0012889,VPN Access,P2,Marketing,IT Helpdesk,2025-04-07,,8,,Open,Yes,Certificate expiry
INC0012890,Network Outage,P1,Finance,Network Ops,2025-04-08,,4,,Open,Yes,Firewall rule misconfiguration
